,detail,link,title
21,"To achieve inclusive growth, by developing skills and productive capacity of the rural youth from poor families.",http://ddugky.gov.in,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDUGKY)
22,"To consolidate information of Labour Inspection and its enforcement through a unified web portal, which will lead to transparency and accountability in inspections.",https://www.efilelabourreturn.gov.in,Pandit Deendayal Upadhyay Shramev Jayate Yojana (PDUSJY)
23,"Providing basic services (e.g. water supply, sewerage, urban transport) to households and build amenities in cities which will improve the quality of life for all, especially the poor and the disadvantaged.",http://amrut.gov.in,Atal Mission for Rejuvenation and Urban Transformation (AMRUT)
24,Develop world class tourism infrastructure.,http://tourism.gov.in,Swadesh Darshan Yojana
25,"Develop world class tourism infrastructure in Amritsar, Ajmer, Amaravati, Dwaraka, Gaya, Kanchipuram, Kedarnath, Kamakhya, Mathura, Puri, Varanasi and Vellankani.",http://tourism.gov.in,PRASAD (Pilgrimage Rejuvenation and Spiritual Augmentation Drive)
26,"Bringing together urban planning, economic growth and heritage conservation in an inclusive manner to preserve the heritage character of each Heritage City.",http://hridayindia.in,National Heritage City Development and Augmentation Yojana (HRIDAY)
27,Encouraging girls for higher technical education and aims to provide a platform that empowers girl students and provides them with better learning opportunities.,http://mhrd.gov.in,Udaan Scheme
28,"To provide hygienic and clean environment, food, drinking water, toilets, schools and other surroundings to the children.",http://wcd.nic.in,National Bal Swachhta Mission
29,"To provide same pension, for same rank, for same length of service, irrespective of the date of retirement.",http://wcd.nic.in,One Rank One Pension (OROP) Scheme
30,To  develop 100 cities all over the country making them citizen friendly and sustainable,http://smartcities.gov.in,Smart City Mission
31,To reduce the reliance on gold imports over time.,http://finmin.nic.in,Gold Monetisation Schemes
32,To provide support to all start-up businesses in all aspects of doing business in India.,http://finmin.nic.in,"Startup India, Standup India"
33,To provide a secure dedicated personal electronic space for storing the documents of resident Indian citizens.,https://digilocker.gov.in,DigiLocker
34,To ensure 24/7 power for all.,http://www.apdrp.gov.in,Integrated Power Development Scheme (IPDS)
35,"To create 300 rural clusters across the country and strengthen financial, job, and lifestyle facilities in rural areas.",http://rurban.gov.in,Shyama Prasad Mukherji Rurban Mission
36,To transform the existing ports into modern world class ports.,http://shipping.nic.in,Sagarmala Project
37,To distribute LED bulbs and decrease the power consumption.,http://powermin.nic.in,‘Prakash Path’ – ‘Way to Light’ – The National LED Programme
38,To obtain operational and financial turnaround of State owned Power Distribution Companies (DISCOMs).,http://powermin.nic.in,UJWAL Discom Assurance Yojana (UDAY)
39,For confirmed accommodation in next alternative train for the waitlisted passengers.,http://powermin.nic.in,Vikalp Scheme
40,To Identify sporting talent among students in the age group of 8–12 years.,http://www.sportsauthorityofindia.nic.in,National Sports Talent Search Scheme (NSTSS)
41,To conserve and develop indigenous bovine breeds.,http://dahd.nic.in,Rashtriya Gokul Mission
42,To send the subsidy money of LPG cylinders directly into the bank accounts of the consumers and increase efficiency &amp; transparency in the whole system.,http://dahd.nic.in,PAHAL-Direct Benefits Transfer for LPG (DBTL) Consumers Scheme
43,to foster involvement and participation in the economic policy-making process by the State Governments of India.,http://niti.gov.in,The National Institution for Transforming India (NITI AAYOG)
44,"To Safeguard Health, Environment and Economic Conditions of the Tribals.",http://mines.nic.in,Pradhan Mantri Khanij Kshetra Kalyan Yojana (PMKKKY)
45,To integrates the efforts to clean and protect the Ganga river in a comprehensive manner.,https://nmcg.nic.in,Namami Gange Project
46,To free all national highways from railway level crossings and renovate the old bridges on national highways by 2019.,http://morth.nic.in,Setu Bharatam Project
47,To distribute free LPG connections to the women belonging to 5 Crore BPL families across the country.,http://www.pmujjwalayojana.com,Pradhan Mantri Ujjwala Yojana
48,To help Panchayat Raj Institutions deliver Sustainable Development Goals.,http://rgsa.nic.in,Rashtriya Gram Swaraj Abhiyan
